id,category,instruction,reference,baseline_prediction,baseline_rouge_l,baseline_bleu,lora_prediction,lora_rouge_l,lora_bleu,qlora_prediction,qlora_rouge_l,qlora_bleu,full_fine-tune_prediction,full_fine-tune_rouge_l,full_fine-tune_bleu,best_mode
0,brainstorming,Give me three recipes from different cuisines that I can make with potatoes and chicken,"You could make potato dumplings in a chicken broth, which comes from German cuisine. Another recipe is mashed potatoes and fried chicken from the American South. You could also try making a Thai curry","* **Recipe 1:** [Chicken and Potato Curry](https://www.bbcgoodfood.com/recipes/chicken-potato-curry)
* **Recipe 2:** [Chicken and Potato Casserole](https://www.bbcgoodfood.com/recipes/chicken-potato-c",0.2000,0.0054,"1. Chicken Tikka Masala - Indian
2. Chicken and Potatoes - American
3. Chicken and Potatoes - French
4. Chicken and Potatoes - Italian
5. Chicken and Potatoes - Spanish
6. Chicken and Potatoes - Mexic",0.1040,0.0033,"1. Chicken and potatoes curry
2. Chicken and potatoes stew
3. Chicken and potatoes soup
4. Chicken and potatoes salad
5. Chicken and potatoes casserole
6. Chicken and potatoes frittata
7. Chicken and ",0.0882,0.0032,"1. Chicken Tikka Masala: This is a popular Indian dish that is made with chicken and potatoes. The chicken is marinated in a mixture of yogurt, spices, and herbs, and then grilled or roasted. The pota",0.1228,0.0176,Full Fine-Tune
1,brainstorming,Give me multiple modes of transport to get to Australia,"Fly by plane, take a boat or cruise ship, swim, paddle board, kayak, sail","```bash
$ python3 main.py
Enter a mode of transport: car
Enter a mode of transport: plane
Enter a mode of transport: boat
Enter a mode of transport: train
Enter a mode of transport: car
Enter a mode o",0.0294,0.0011,"You can get to Australia by plane, boat, or car. You can also get there by train, but it is a very long journey. You can also get there by bike, but it is a very long journey. You can also get there b",0.0352,0.0021,"You can get to Australia by plane, boat, or car. You can also get there by train, but that is not a very popular option. You can also get there by bike, but that is not a very popular option either. Y",0.0339,0.0020,"You can get to Australia by plane, boat, or car. You can also get there by train, but it will take a long time. You can also get there by bicycle, but it will take a long time. You can also get there ",0.0418,0.0025,Full Fine-Tune
2,brainstorming,What are the primary ingredients and spices that go into Greek cooking?,"1) Salt
2) Pepper
3) Extra virgin olive oil
4) Fresh oregano
5) Lemon juice
6) Garlic

Technique matters; however, the addition of these six ingredients to any dish will give it a Greek cuisine flavor","The primary ingredients in Greek cooking are olive oil, lemon juice, garlic, oregano, and feta cheese. The spices that are commonly used in Greek cooking are cinnamon, nutmeg, allspice, and cloves.

#",0.0962,0.0028,"The primary ingredients in Greek cooking are olive oil, lemon, garlic, oregano, and feta cheese.  These ingredients are used in a variety of dishes, including soups, salads, and main courses.  The mos",0.1116,0.0017,"The primary ingredients in Greek cooking are olive oil, lemon, garlic, oregano, and feta cheese.  These ingredients are used in a variety of dishes including salads, soups, and main courses.  The spic",0.1057,0.0029,"The primary ingredients in Greek cooking are olive oil, lemon juice, oregano, and feta cheese.  These ingredients are used in a variety of dishes, including salads, soups, and main courses.  The most ",0.1719,0.0037,Full Fine-Tune
3,brainstorming,What medicinal plants should I grow in my Mid-Atlantic garden?,"Echinacea
Elder
Bee balm
Lemon balm
Mullein
Burdock
Yarrow
Wood Betony","The Mid-Atlantic region is a diverse area with a wide range of climates and growing conditions. However, there are some medicinal plants that are well-suited to this region and can be grown with relat",0.0093,0.0000,The Mid-Atlantic region of the United States is a temperate climate with four distinct seasons.  The growing season is long enough to grow many medicinal plants.  Some of the most common medicinal pla,0.1273,0.0044,"The Mid-Atlantic region of the United States is a great place to grow medicinal plants. Some of the most common medicinal plants that grow well in this region include echinacea, chamomile, mint, and l",0.0084,0.0008,"The Mid-Atlantic region of the United States is a great place to grow medicinal plants. The climate is temperate, with warm summers and cold winters. The soil is generally fertile and well-drained. Th",0.0093,0.0000,LoRA
4,brainstorming,What are some ways I could cheer up my friend that just got dumped?,"Im sorry your friend recently got dumped.  I would ask them if they want to talk about it, or be distracted from it.  If they want to talk about it, I would find a quiet place and a warm beverage and ","- I could send them a funny meme
- I could send them a funny gif
- I could send them a funny video
- I could send them a funny picture
- I could send them a funny joke
- I could send them a funny stor",0.0567,0.0013,"1. Listen to them and let them vent
2. Offer to go out for a drink
3. Offer to go for a walk
4. Offer to go to the movies
5. Offer to go to a comedy show
6. Offer to go to a concert
7. Offer to go to ",0.0486,0.0016,"1. Listen to them and be a good friend
2. Offer to go out for a drink
3. Offer to help them move out of their apartment
4. Offer to help them clean out their ex's stuff
5. Offer to help them get a new",0.0610,0.0016,"You could offer to go out for a drink, or a walk, or a movie. You could offer to help them move out of their apartment. You could offer to help them clean out their ex's stuff. You could offer to help",0.0516,0.0015,QLoRA
5,brainstorming,How do you motivate and focus a team to exceed expectations during a terrible economic downturn?,"Set a goal, vision, create plans to execute, don’t over complicate it. Win as a team and lose as team.",I have been in the same situation. I was the CEO of a company that was in the process of being acquired. The company was in a terrible economic downturn and the acquisition was not going to happen. I ,0.0711,0.0021,The first step is to understand the situation.  The team needs to understand the economic situation and how it will impact the business.  The team needs to understand the impact on the business and ho,0.0402,0.0010,The first step is to understand the situation and the impact on the team.  The second step is to understand the team's goals and objectives.  The third step is to understand the team's strengths and w,0.0422,0.0012,The first step is to understand the situation.  The team needs to understand the economic situation and how it will impact the business.  The team needs to understand how the business will be impacted,0.0402,0.0010,QLoRA
6,brainstorming,What is success,"Satisfaction levels define the success, success defined for one person may not be true for other",Success is a state of mind. It is a state of mind that is achieved by the individual. It is a state of mind that is achieved by the individual. It is a state of mind that is achieved by the individual,0.0079,0.0009,Success is a relative term. It is subjective and depends on the individual. Success can be defined as achieving a goal or reaching a desired outcome. It can also be defined as achieving a level of hap,0.0581,0.0013,"Success is the accomplishment of an aim or purpose. When someone achieves their aim or purpose, they are considered successful. Success can be measured in many ways, such as by the amount of money som",0.0567,0.0011,"Success is a relative term. It is different for different people. For some, success is measured in terms of money, fame, and power. For others, success is measured in terms of personal growth, happine",0.0588,0.0014,Full Fine-Tune
7,brainstorming,"What are some items you can put on a bookshelf, other than books, to make it nice looking.","Peppering a bookshelf with items other than books can be aesthetically pleasing. Some ideas for items to add to a bookshelf include small containers or boxes to hold small items, pictures in picture f","I can put some decorative items on a bookshelf, such as a vase, a candle, a small statue, or a small plant. I can also put some small decorative items on the bookshelf, such as a small clock, a small ",0.1660,0.0031,"Some items you can put on a bookshelf, other than books, to make it nice looking are: 
- A vase with flowers
- A small plant
- A small statue
- A small painting
- A small figurine
- A small clock
- A ",0.1674,0.0031,"Some items you can put on a bookshelf, other than books, to make it nice looking are: a vase with flowers, a small plant, a small statue, a small painting, a small decorative item, a small decorative ",0.0985,0.0030,"Some items you can put on a bookshelf, other than books, to make it nice looking are: 
- A vase with flowers
- A small plant
- A small statue
- A small painting
- A small lamp
- A small clock
- A smal",0.1321,0.0031,LoRA
8,brainstorming,What are the measurements needed to fit pants?,"The main three measurements for pants are the waist, the length, and the inseam. There any many other measurements associated with pant fittings, including hip circumference, thigh circumference, knee","The measurements needed to fit pants are the waist, hip, inseam, and rise. The waist is the measurement around the natural waistline. The hip is the measurement around the fullest part of the hips. Th",0.1157,0.0136,"The measurements needed to fit pants are waist, hip, and inseam. The waist is the measurement around the waist, the hip is the measurement around the hip, and the inseam is the measurement from the cr",0.1098,0.0070,"The measurements needed to fit pants are waist, hip, and inseam.  The waist measurement is the circumference of the waist.  The hip measurement is the circumference of the hips.  The inseam measuremen",0.1182,0.0038,"The measurements needed to fit pants are waist, hip, inseam, and rise. The waist is the circumference of the waist. The hip is the circumference of the hip. The inseam is the length of the inseam. The",0.1481,0.0034,Full Fine-Tune
9,brainstorming,Who is the most popular president ever in the USA?,The most popular president ever in the USA is Franklin D. Roosevelt. He was president from 1933 to 1945 and is remembered for his New Deal programs that helped to improve the economy and the lives of ,"The most popular president ever in the USA is Abraham Lincoln. He was the 16th president of the United States. He was born on February 12, 1809, in Kentucky. He was a lawyer and a politician. He was t",0.2857,0.1179,Abraham Lincoln is the most popular president in the USA. He is the only president to be elected to two terms and is the only president to be assassinated. He is also the only president to be elected ,0.1314,0.0157,Abraham Lincoln is the most popular president in the USA. He is the only president to be assassinated. He is also the only president to have a national holiday named after him. He is also the only pre,0.1147,0.0141,Abraham Lincoln is the most popular president in the USA. He is the only president to be assassinated. He is also the only president to be elected from a party that did not exist at the time of his el,0.1408,0.0146,Full Fine-Tune
